region	chr	midPos	Nsites
(137398,137897)(137400,137899)(137400,137900)	Mt	137650	501	0.029828
(137498,137997)(137500,137999)(137500,138000)	Mt	137750	501	0.029464
(137598,138097)(137600,138099)(137600,138100)	Mt	137850	501	0.028809
(137698,138197)(137700,138199)(137700,138200)	Mt	137950	501	0.025829
(137798,138297)(137800,138299)(137800,138300)	Mt	138050	501	0.022959
(137898,138397)(137900,138399)(137900,138400)	Mt	138150	501	0.024753
(137998,138497)(138000,138499)(138000,138500)	Mt	138250	501	0.025402
(138098,138597)(138100,138599)(138100,138600)	Mt	138350	501	0.025962
(138198,138697)(138200,138699)(138200,138700)	Mt	138450	501	0.027084
(138298,138797)(138300,138799)(138300,138800)	Mt	138550	501	0.029605
(138398,138897)(138400,138899)(138400,138900)	Mt	138650	501	0.027759
(138498,138997)(138500,138999)(138500,139000)	Mt	138750	501	0.026492
(138598,139097)(138600,139099)(138600,139100)	Mt	138850	501	0.027179
(138698,139197)(138700,139199)(138700,139200)	Mt	138950	501	0.024159
(138798,139297)(138800,139299)(138800,139300)	Mt	139050	501	0.024739
(138898,139397)(138900,139399)(138900,139400)	Mt	139150	501	0.026857
(138998,139497)(139000,139499)(139000,139500)	Mt	139250	501	0.029604
(139098,139597)(139100,139599)(139100,139600)	Mt	139350	501	0.030295
(139198,139697)(139200,139699)(139200,139700)	Mt	139450	501	0.031136
(139298,139797)(139300,139799)(139300,139800)	Mt	139550	501	0.029872
(139398,139897)(139400,139899)(139400,139900)	Mt	139650	501	0.026615
(139498,139997)(139500,139999)(139500,140000)	Mt	139750	501	0.024436
(139598,140097)(139600,140099)(139600,140100)	Mt	139850	501	0.022401
(139698,140197)(139700,140199)(139700,140200)	Mt	139950	501	0.022725
(139798,140297)(139800,140299)(139800,140300)	Mt	140050	501	0.021718
(139898,140397)(139900,140399)(139900,140400)	Mt	140150	501	0.026673
(139998,140497)(140000,140499)(140000,140500)	Mt	140250	501	0.028922
(140098,140597)(140100,140599)(140100,140600)	Mt	140350	501	0.028434
(140198,140697)(140200,140699)(140200,140700)	Mt	140450	501	0.029894
(140298,140797)(140300,140799)(140300,140800)	Mt	140550	501	0.033017
(140398,140897)(140400,140899)(140400,140900)	Mt	140650	501	0.030951
(140498,140997)(140500,140999)(140500,141000)	Mt	140750	501	0.033714
(140598,141097)(140600,141099)(140600,141100)	Mt	140850	501	0.033353
(140698,141197)(140700,141199)(140700,141200)	Mt	140950	501	0.032016
(140798,141297)(140800,141299)(140800,141300)	Mt	141050	501	0.033642
(140898,141397)(140900,141399)(140900,141400)	Mt	141150	501	0.032223
(140998,141497)(141000,141499)(141000,141500)	Mt	141250	501	0.029339
(141098,141597)(141100,141599)(141100,141600)	Mt	141350	501	0.029100
(141198,141697)(141200,141699)(141200,141700)	Mt	141450	501	0.028894
(141298,141797)(141300,141799)(141300,141800)	Mt	141550	501	0.026658
(141398,141897)(141400,141899)(141400,141900)	Mt	141650	501	0.027994
(141498,141997)(141500,141999)(141500,142000)	Mt	141750	501	0.028152
(141598,142097)(141600,142099)(141600,142100)	Mt	141850	501	0.030634
(141698,142197)(141700,142199)(141700,142200)	Mt	141950	501	0.036307
(141798,142297)(141800,142299)(141800,142300)	Mt	142050	501	0.035869
(141898,142397)(141900,142399)(141900,142400)	Mt	142150	501	0.035815
(141998,142497)(142000,142499)(142000,142500)	Mt	142250	501	0.034915
(142098,142597)(142100,142599)(142100,142600)	Mt	142350	501	0.034482
(142198,142697)(142200,142699)(142200,142700)	Mt	142450	501	0.026475
(142298,142797)(142300,142799)(142300,142800)	Mt	142550	501	0.026383
(142398,142897)(142400,142899)(142400,142900)	Mt	142650	501	0.028240
(142498,142997)(142500,142999)(142500,143000)	Mt	142750	501	0.029356
(142598,143097)(142600,143099)(142600,143100)	Mt	142850	501	0.027635
(142698,143197)(142700,143199)(142700,143200)	Mt	142950	501	0.029706
(142798,143297)(142800,143299)(142800,143300)	Mt	143050	501	0.030973
(142898,143397)(142900,143399)(142900,143400)	Mt	143150	501	0.027656
(142998,143497)(143000,143499)(143000,143500)	Mt	143250	501	0.026672
(143098,143597)(143100,143599)(143100,143600)	Mt	143350	501	0.028358
(143198,143697)(143200,143699)(143200,143700)	Mt	143450	501	0.027588
(143298,143797)(143300,143799)(143300,143800)	Mt	143550	501	0.026699
(143398,143897)(143400,143899)(143400,143900)	Mt	143650	501	0.023447
(143498,143997)(143500,143999)(143500,144000)	Mt	143750	501	0.021663
(143598,144097)(143600,144099)(143600,144100)	Mt	143850	501	0.019467
(143698,144197)(143700,144199)(143700,144200)	Mt	143950	501	0.020080
(143798,144297)(143800,144299)(143800,144300)	Mt	144050	501	0.018286
(143898,144397)(143900,144399)(143900,144400)	Mt	144150	501	0.020867
(143998,144497)(144000,144499)(144000,144500)	Mt	144250	501	0.022033
(144098,144597)(144100,144599)(144100,144600)	Mt	144350	501	0.025013
(144198,144697)(144200,144699)(144200,144700)	Mt	144450	501	0.023124
(144298,144797)(144300,144799)(144300,144800)	Mt	144550	501	0.028462
(144398,144897)(144400,144899)(144400,144900)	Mt	144650	501	0.030530
(144498,144997)(144500,144999)(144500,145000)	Mt	144750	501	0.028892
(144598,145097)(144600,145099)(144600,145100)	Mt	144850	501	0.025316
(144698,145197)(144700,145199)(144700,145200)	Mt	144950	501	0.030228
(144798,145297)(144800,145299)(144800,145300)	Mt	145050	501	0.026180
(144898,145397)(144900,145399)(144900,145400)	Mt	145150	501	0.026148
(144998,145497)(145000,145499)(145000,145500)	Mt	145250	501	0.026380
(145098,145597)(145100,145599)(145100,145600)	Mt	145350	501	0.030642
(145198,145697)(145200,145699)(145200,145700)	Mt	145450	501	0.029045
(145298,145797)(145300,145799)(145300,145800)	Mt	145550	501	0.031551
(145398,145897)(145400,145899)(145400,145900)	Mt	145650	501	0.031318
(145498,145997)(145500,145999)(145500,146000)	Mt	145750	501	0.031769
(145598,146097)(145600,146099)(145600,146100)	Mt	145850	501	0.029751
(145698,146197)(145700,146199)(145700,146200)	Mt	145950	501	0.028009
(145798,146297)(145800,146299)(145800,146300)	Mt	146050	501	0.025623
(145898,146397)(145900,146399)(145900,146400)	Mt	146150	501	0.027206
(145998,146497)(146000,146499)(146000,146500)	Mt	146250	501	0.027230
(146098,146597)(146100,146599)(146100,146600)	Mt	146350	501	0.027397
(146198,146697)(146200,146699)(146200,146700)	Mt	146450	501	0.029225
(146298,146797)(146300,146799)(146300,146800)	Mt	146550	501	0.027742
(146398,146897)(146400,146899)(146400,146900)	Mt	146650	501	0.027487
(146498,146997)(146500,146999)(146500,147000)	Mt	146750	501	0.028527
(146598,147097)(146600,147099)(146600,147100)	Mt	146850	501	0.028004
(146698,147197)(146700,147199)(146700,147200)	Mt	146950	501	0.025533
(146798,147297)(146800,147299)(146800,147300)	Mt	147050	501	0.028537
(146898,147397)(146900,147399)(146900,147400)	Mt	147150	501	0.027764
(146998,147497)(147000,147499)(147000,147500)	Mt	147250	501	0.027853
(147098,147597)(147100,147599)(147100,147600)	Mt	147350	501	0.024714
(147198,147697)(147200,147699)(147200,147700)	Mt	147450	501	0.028002
(147298,147797)(147300,147799)(147300,147800)	Mt	147550	501	0.028957
(147398,147897)(147400,147899)(147400,147900)	Mt	147650	501	0.028315
(147498,147997)(147500,147999)(147500,148000)	Mt	147750	501	0.027723
(147598,148097)(147600,148099)(147600,148100)	Mt	147850	501	0.032813
(147698,148197)(147700,148199)(147700,148200)	Mt	147950	501	0.029875
(147798,148297)(147800,148299)(147800,148300)	Mt	148050	501	0.029484
(147898,148397)(147900,148399)(147900,148400)	Mt	148150	501	0.028941
(147998,148497)(148000,148499)(148000,148500)	Mt	148250	501	0.029486
(148098,148597)(148100,148599)(148100,148600)	Mt	148350	501	0.031223
(148198,148697)(148200,148699)(148200,148700)	Mt	148450	501	0.031398
(148298,148797)(148300,148799)(148300,148800)	Mt	148550	501	0.028712
(148398,148897)(148400,148899)(148400,148900)	Mt	148650	501	0.029587
(148498,148997)(148500,148999)(148500,149000)	Mt	148750	501	0.028781
(148598,149097)(148600,149099)(148600,149100)	Mt	148850	501	0.025403
(148698,149197)(148700,149199)(148700,149200)	Mt	148950	501	0.024955
(148798,149297)(148800,149299)(148800,149300)	Mt	149050	501	0.026430
(148898,149397)(148900,149399)(148900,149400)	Mt	149150	501	0.028054
(148998,149497)(149000,149499)(149000,149500)	Mt	149250	501	0.029762
(149098,149597)(149100,149599)(149100,149600)	Mt	149350	501	0.031932
(149198,149697)(149200,149699)(149200,149700)	Mt	149450	501	0.034418
(149298,149797)(149300,149799)(149300,149800)	Mt	149550	501	0.031777
(149398,149897)(149400,149899)(149400,149900)	Mt	149650	501	0.034402
(149498,149997)(149500,149999)(149500,150000)	Mt	149750	501	0.035337
(149598,150097)(149600,150099)(149600,150100)	Mt	149850	501	0.034792
(149698,150197)(149700,150199)(149700,150200)	Mt	149950	501	0.033000
(149798,150297)(149800,150299)(149800,150300)	Mt	150050	501	0.035013
(149898,150397)(149900,150399)(149900,150400)	Mt	150150	501	0.035296
(149998,150497)(150000,150499)(150000,150500)	Mt	150250	501	0.033869
(150098,150597)(150100,150599)(150100,150600)	Mt	150350	501	0.034845
(150198,150697)(150200,150699)(150200,150700)	Mt	150450	501	0.036153
(150298,150797)(150300,150799)(150300,150800)	Mt	150550	501	0.037267
(150398,150897)(150400,150899)(150400,150900)	Mt	150650	501	0.032354
(150498,150997)(150500,150999)(150500,151000)	Mt	150750	501	0.031931
(150598,151097)(150600,151099)(150600,151100)	Mt	150850	501	0.031356
(150698,151197)(150700,151199)(150700,151200)	Mt	150950	501	0.030473
(150798,151297)(150800,151299)(150800,151300)	Mt	151050	501	0.028552
(150898,151397)(150900,151399)(150900,151400)	Mt	151150	501	0.028237
(150998,151497)(151000,151499)(151000,151500)	Mt	151250	501	0.027244
(151098,151597)(151100,151599)(151100,151600)	Mt	151350	501	0.023840
(151198,151697)(151200,151699)(151200,151700)	Mt	151450	501	0.024514
(151298,151797)(151300,151799)(151300,151800)	Mt	151550	501	0.026259
(151398,151897)(151400,151899)(151400,151900)	Mt	151650	501	0.027104
(151498,151997)(151500,151999)(151500,152000)	Mt	151750	501	0.027018
(151598,152097)(151600,152099)(151600,152100)	Mt	151850	501	0.029306
(151698,152197)(151700,152199)(151700,152200)	Mt	151950	501	0.029857
(151798,152297)(151800,152299)(151800,152300)	Mt	152050	501	0.028762
(151898,152397)(151900,152399)(151900,152400)	Mt	152150	501	0.029450
(151998,152497)(152000,152499)(152000,152500)	Mt	152250	501	0.030280
(152098,152597)(152100,152599)(152100,152600)	Mt	152350	501	0.031219
(152198,152697)(152200,152699)(152200,152700)	Mt	152450	501	0.028064
(152298,152797)(152300,152799)(152300,152800)	Mt	152550	501	0.029047
(152398,152897)(152400,152899)(152400,152900)	Mt	152650	501	0.028576
(152498,152997)(152500,152999)(152500,153000)	Mt	152750	501	0.029651
(152598,153097)(152600,153099)(152600,153100)	Mt	152850	501	0.032665
(152698,153197)(152700,153199)(152700,153200)	Mt	152950	501	0.037060
(152798,153297)(152800,153299)(152800,153300)	Mt	153050	501	0.039102
(152898,153397)(152900,153399)(152900,153400)	Mt	153150	501	0.037264
(152998,153497)(153000,153499)(153000,153500)	Mt	153250	501	0.035960
(153098,153597)(153100,153599)(153100,153600)	Mt	153350	501	0.031599
(153198,153697)(153200,153699)(153200,153700)	Mt	153450	501	0.027571
(153298,153797)(153300,153799)(153300,153800)	Mt	153550	501	0.025704
(153398,153897)(153400,153899)(153400,153900)	Mt	153650	501	0.026006
(153498,153997)(153500,153999)(153500,154000)	Mt	153750	501	0.024809
(153598,154097)(153600,154099)(153600,154100)	Mt	153850	501	0.028601
(153698,154197)(153700,154199)(153700,154200)	Mt	153950	501	0.030707
(153798,154297)(153800,154299)(153800,154300)	Mt	154050	501	0.030729
(153898,154397)(153900,154399)(153900,154400)	Mt	154150	501	0.027857
(153998,154497)(154000,154499)(154000,154500)	Mt	154250	501	0.029799
(154098,154597)(154100,154599)(154100,154600)	Mt	154350	501	0.025914
(154198,154697)(154200,154699)(154200,154700)	Mt	154450	501	0.025945
(154298,154797)(154300,154799)(154300,154800)	Mt	154550	501	0.025155
(154398,154897)(154400,154899)(154400,154900)	Mt	154650	501	0.032155
(154498,154997)(154500,154999)(154500,155000)	Mt	154750	501	0.028842
(154598,155097)(154600,155099)(154600,155100)	Mt	154850	501	0.028765
(154698,155197)(154700,155199)(154700,155200)	Mt	154950	501	0.028027
(154798,155297)(154800,155299)(154800,155300)	Mt	155050	501	0.027751
(154898,155397)(154900,155399)(154900,155400)	Mt	155150	501	0.023522
(154998,155497)(155000,155499)(155000,155500)	Mt	155250	501	0.024005
(155098,155597)(155100,155599)(155100,155600)	Mt	155350	501	0.024742
(155198,155697)(155200,155699)(155200,155700)	Mt	155450	501	0.026176
(155298,155797)(155300,155799)(155300,155800)	Mt	155550	501	0.025687
(155398,155897)(155400,155899)(155400,155900)	Mt	155650	501	0.026621
(155498,155997)(155500,155999)(155500,156000)	Mt	155750	501	0.027221
(155598,156097)(155600,156099)(155600,156100)	Mt	155850	501	0.027336
(155698,156197)(155700,156199)(155700,156200)	Mt	155950	501	0.026829
(155798,156297)(155800,156299)(155800,156300)	Mt	156050	501	0.029606
(155898,156397)(155900,156399)(155900,156400)	Mt	156150	501	0.030531
(155998,156497)(156000,156499)(156000,156500)	Mt	156250	501	0.032518
(156098,156597)(156100,156599)(156100,156600)	Mt	156350	501	0.034336
(156198,156697)(156200,156699)(156200,156700)	Mt	156450	501	0.034644
(156298,156797)(156300,156799)(156300,156800)	Mt	156550	501	0.037308
(156398,156897)(156400,156899)(156400,156900)	Mt	156650	501	0.034104
(156498,156997)(156500,156999)(156500,157000)	Mt	156750	501	0.034047
(156598,157097)(156600,157099)(156600,157100)	Mt	156850	501	0.032297
(156698,157197)(156700,157199)(156700,157200)	Mt	156950	501	0.033880
(156798,157297)(156800,157299)(156800,157300)	Mt	157050	501	0.030300
(156898,157397)(156900,157399)(156900,157400)	Mt	157150	501	0.035684
(156998,157497)(157000,157499)(157000,157500)	Mt	157250	501	0.033046
(157098,157597)(157100,157599)(157100,157600)	Mt	157350	501	0.032915
(157198,157697)(157200,157699)(157200,157700)	Mt	157450	501	0.030433
(157298,157797)(157300,157799)(157300,157800)	Mt	157550	501	0.028384
(157398,157897)(157400,157899)(157400,157900)	Mt	157650	501	0.023734
(157498,157997)(157500,157999)(157500,158000)	Mt	157750	501	0.024445
(157598,158097)(157600,158099)(157600,158100)	Mt	157850	501	0.025101
(157698,158197)(157700,158199)(157700,158200)	Mt	157950	501	0.022409
(157798,158297)(157800,158299)(157800,158300)	Mt	158050	501	0.024460
(157898,158397)(157900,158399)(157900,158400)	Mt	158150	501	0.026975
(157998,158497)(158000,158499)(158000,158500)	Mt	158250	501	0.028218
(158098,158597)(158100,158599)(158100,158600)	Mt	158350	501	0.026829
(158198,158697)(158200,158699)(158200,158700)	Mt	158450	501	0.030619
(158298,158797)(158300,158799)(158300,158800)	Mt	158550	501	0.030107
(158398,158897)(158400,158899)(158400,158900)	Mt	158650	501	0.029425
(158498,158997)(158500,158999)(158500,159000)	Mt	158750	501	0.028449
(158598,159097)(158600,159099)(158600,159100)	Mt	158850	501	0.027112
(158698,159197)(158700,159199)(158700,159200)	Mt	158950	501	0.024426
(158798,159297)(158800,159299)(158800,159300)	Mt	159050	501	0.023110
(158898,159397)(158900,159399)(158900,159400)	Mt	159150	501	0.021569
(158998,159497)(159000,159499)(159000,159500)	Mt	159250	501	0.022848
(159098,159597)(159100,159599)(159100,159600)	Mt	159350	501	0.027106
(159198,159697)(159200,159699)(159200,159700)	Mt	159450	501	0.029340
(159298,159797)(159300,159799)(159300,159800)	Mt	159550	501	0.031149
(159398,159897)(159400,159899)(159400,159900)	Mt	159650	501	0.029308
(159498,159997)(159500,159999)(159500,160000)	Mt	159750	501	0.028507
(159598,160097)(159600,160099)(159600,160100)	Mt	159850	501	0.027315
(159698,160197)(159700,160199)(159700,160200)	Mt	159950	501	0.025728
(159798,160297)(159800,160299)(159800,160300)	Mt	160050	501	0.023841
(159898,160397)(159900,160399)(159900,160400)	Mt	160150	501	0.025948
(159998,160497)(160000,160499)(160000,160500)	Mt	160250	501	0.027110
(160098,160597)(160100,160599)(160100,160600)	Mt	160350	501	0.026479
(160198,160697)(160200,160699)(160200,160700)	Mt	160450	501	0.025809
(160298,160797)(160300,160799)(160300,160800)	Mt	160550	501	0.025578
(160398,160897)(160400,160899)(160400,160900)	Mt	160650	501	0.023708
(160498,160997)(160500,160999)(160500,161000)	Mt	160750	501	0.021266
(160598,161097)(160600,161099)(160600,161100)	Mt	160850	501	0.019107
(160698,161197)(160700,161199)(160700,161200)	Mt	160950	501	0.020451
(160798,161297)(160800,161299)(160800,161300)	Mt	161050	501	0.026009
(160898,161397)(160900,161399)(160900,161400)	Mt	161150	501	0.028422
(160998,161497)(161000,161499)(161000,161500)	Mt	161250	501	0.029517
(161098,161597)(161100,161599)(161100,161600)	Mt	161350	501	0.030400
(161198,161697)(161200,161699)(161200,161700)	Mt	161450	501	0.031072
(161298,161797)(161300,161799)(161300,161800)	Mt	161550	501	0.028891
(161398,161897)(161400,161899)(161400,161900)	Mt	161650	501	0.032108
(161498,161997)(161500,161999)(161500,162000)	Mt	161750	501	0.031091
(161598,162097)(161600,162099)(161600,162100)	Mt	161850	501	0.030966
(161698,162197)(161700,162199)(161700,162200)	Mt	161950	501	0.029682
(161798,162297)(161800,162299)(161800,162300)	Mt	162050	501	0.033926
(161898,162397)(161900,162399)(161900,162400)	Mt	162150	501	0.031526
(161998,162497)(162000,162499)(162000,162500)	Mt	162250	501	0.034682
(162098,162597)(162100,162599)(162100,162600)	Mt	162350	501	0.035109
(162198,162697)(162200,162699)(162200,162700)	Mt	162450	501	0.037645
(162298,162797)(162300,162799)(162300,162800)	Mt	162550	501	0.030828
(162398,162897)(162400,162899)(162400,162900)	Mt	162650	501	0.027777
(162498,162997)(162500,162999)(162500,163000)	Mt	162750	501	0.025591
(162598,163097)(162600,163099)(162600,163100)	Mt	162850	501	0.027585
(162698,163197)(162700,163199)(162700,163200)	Mt	162950	501	0.026639
(162798,163297)(162800,163299)(162800,163300)	Mt	163050	501	0.025867
(162898,163397)(162900,163399)(162900,163400)	Mt	163150	501	0.030925
(162998,163497)(163000,163499)(163000,163500)	Mt	163250	501	0.032932
(163098,163597)(163100,163599)(163100,163600)	Mt	163350	501	0.028311
(163198,163697)(163200,163699)(163200,163700)	Mt	163450	501	0.028895
(163298,163797)(163300,163799)(163300,163800)	Mt	163550	501	0.028692
(163398,163897)(163400,163899)(163400,163900)	Mt	163650	501	0.024413
(163498,163997)(163500,163999)(163500,164000)	Mt	163750	501	0.020411
(163598,164097)(163600,164099)(163600,164100)	Mt	163850	501	0.022144
(163698,164197)(163700,164199)(163700,164200)	Mt	163950	501	0.019242
(163798,164297)(163800,164299)(163800,164300)	Mt	164050	501	0.021034
(163898,164397)(163900,164399)(163900,164400)	Mt	164150	501	0.022892
(163998,164497)(164000,164499)(164000,164500)	Mt	164250	501	0.026275
(164098,164597)(164100,164599)(164100,164600)	Mt	164350	501	0.026196
(164198,164697)(164200,164699)(164200,164700)	Mt	164450	501	0.029815
(164298,164797)(164300,164799)(164300,164800)	Mt	164550	501	0.029191
(164398,164897)(164400,164899)(164400,164900)	Mt	164650	501	0.028259
(164498,164997)(164500,164999)(164500,165000)	Mt	164750	501	0.027726
(164598,165097)(164600,165099)(164600,165100)	Mt	164850	501	0.029928
(164698,165197)(164700,165199)(164700,165200)	Mt	164950	501	0.027000
(164798,165297)(164800,165299)(164800,165300)	Mt	165050	501	0.030714
(164898,165397)(164900,165399)(164900,165400)	Mt	165150	501	0.045394
(164998,165497)(165000,165499)(165000,165500)	Mt	165250	501	0.058533
(165098,165597)(165100,165599)(165100,165600)	Mt	165350	501	0.053643
(165198,165697)(165200,165699)(165200,165700)	Mt	165450	501	0.051526
(165298,165797)(165300,165799)(165300,165800)	Mt	165550	501	0.051148
(165398,165897)(165400,165899)(165400,165900)	Mt	165650	501	0.051006
(165498,165997)(165500,165999)(165500,166000)	Mt	165750	501	0.051667
(165598,166097)(165600,166099)(165600,166100)	Mt	165850	501	0.052498
(165698,166197)(165700,166199)(165700,166200)	Mt	165950	501	0.052368
(165798,166297)(165800,166299)(165800,166300)	Mt	166050	501	0.055137
(165898,166397)(165900,166399)(165900,166400)	Mt	166150	501	0.055271
(165998,166497)(166000,166499)(166000,166500)	Mt	166250	501	0.056394
(166098,166597)(166100,166599)(166100,166600)	Mt	166350	501	0.060759
(166198,166697)(166200,166699)(166200,166700)	Mt	166450	501	0.060916
(166298,166797)(166300,166799)(166300,166800)	Mt	166550	501	0.059967
(166398,166897)(166400,166899)(166400,166900)	Mt	166650	501	0.061838
(166498,166997)(166500,166999)(166500,167000)	Mt	166750	501	0.059983
(166598,167097)(166600,167099)(166600,167100)	Mt	166850	501	0.054044
(166698,167197)(166700,167199)(166700,167200)	Mt	166950	501	0.053400
(166798,167297)(166800,167299)(166800,167300)	Mt	167050	501	0.054209
(166898,167397)(166900,167399)(166900,167400)	Mt	167150	501	0.050049
(166998,167497)(167000,167499)(167000,167500)	Mt	167250	501	0.050179
(167098,167597)(167100,167599)(167100,167600)	Mt	167350	501	0.055128
(167198,167697)(167200,167699)(167200,167700)	Mt	167450	501	0.055917
(167298,167797)(167300,167799)(167300,167800)	Mt	167550	501	0.055551
(167398,167897)(167400,167899)(167400,167900)	Mt	167650	501	0.056404
(167498,167997)(167500,167999)(167500,168000)	Mt	167750	501	0.058207
(167598,168097)(167600,168099)(167600,168100)	Mt	167850	501	0.053944
(167698,168197)(167700,168199)(167700,168200)	Mt	167950	501	0.054261
(167798,168297)(167800,168299)(167800,168300)	Mt	168050	501	0.053849
(167898,168397)(167900,168399)(167900,168400)	Mt	168150	501	0.053353
(167998,168497)(168000,168499)(168000,168500)	Mt	168250	501	0.050999
(168098,168597)(168100,168599)(168100,168600)	Mt	168350	501	0.053140
(168198,168697)(168200,168699)(168200,168700)	Mt	168450	501	0.052062
(168298,168797)(168300,168799)(168300,168800)	Mt	168550	501	0.056985
(168398,168897)(168400,168899)(168400,168900)	Mt	168650	501	0.058801
(168498,168997)(168500,168999)(168500,169000)	Mt	168750	501	0.059962
(168598,169097)(168600,169099)(168600,169100)	Mt	168850	501	0.063166
(168698,169197)(168700,169199)(168700,169200)	Mt	168950	501	0.063586
(168798,169297)(168800,169299)(168800,169300)	Mt	169050	501	0.061279
(168898,169397)(168900,169399)(168900,169400)	Mt	169150	501	0.059327
(168998,169497)(169000,169499)(169000,169500)	Mt	169250	501	0.058356
(169098,169597)(169100,169599)(169100,169600)	Mt	169350	501	0.056058
(169198,169697)(169200,169699)(169200,169700)	Mt	169450	501	0.055377
(169298,169797)(169300,169799)(169300,169800)	Mt	169550	501	0.056908
(169398,169897)(169400,169899)(169400,169900)	Mt	169650	501	0.058128
(169498,169997)(169500,169999)(169500,170000)	Mt	169750	501	0.057082
(169598,170097)(169600,170099)(169600,170100)	Mt	169850	501	0.054343
(169698,170197)(169700,170199)(169700,170200)	Mt	169950	501	0.056833
(169798,170297)(169800,170299)(169800,170300)	Mt	170050	501	0.053600
(169898,170397)(169900,170399)(169900,170400)	Mt	170150	501	0.051406
(169998,170497)(170000,170499)(170000,170500)	Mt	170250	501	0.051800
(170098,170597)(170100,170599)(170100,170600)	Mt	170350	501	0.052663
(170198,170697)(170200,170699)(170200,170700)	Mt	170450	501	0.049804
(170298,170797)(170300,170799)(170300,170800)	Mt	170550	501	0.050189
(170398,170897)(170400,170899)(170400,170900)	Mt	170650	501	0.050248
(170498,170997)(170500,170999)(170500,171000)	Mt	170750	501	0.052058
(170598,171097)(170600,171099)(170600,171100)	Mt	170850	501	0.051804
(170698,171197)(170700,171199)(170700,171200)	Mt	170950	501	0.051870
(170798,171297)(170800,171299)(170800,171300)	Mt	171050	501	0.053709
(170898,171397)(170900,171399)(170900,171400)	Mt	171150	501	0.058387
(170998,171497)(171000,171499)(171000,171500)	Mt	171250	501	0.057540
(171098,171597)(171100,171599)(171100,171600)	Mt	171350	501	0.058176
(171198,171697)(171200,171699)(171200,171700)	Mt	171450	501	0.060322
(171298,171797)(171300,171799)(171300,171800)	Mt	171550	501	0.059667
(171398,171897)(171400,171899)(171400,171900)	Mt	171650	501	0.057594
(171498,171997)(171500,171999)(171500,172000)	Mt	171750	501	0.058027
(171598,172097)(171600,172099)(171600,172100)	Mt	171850	501	0.057678
(171698,172197)(171700,172199)(171700,172200)	Mt	171950	501	0.055907
(171798,172297)(171800,172299)(171800,172300)	Mt	172050	501	0.055153
(171898,172397)(171900,172399)(171900,172400)	Mt	172150	501	0.054330
(171998,172497)(172000,172499)(172000,172500)	Mt	172250	501	0.053509
(172098,172597)(172100,172599)(172100,172600)	Mt	172350	501	0.053014
(172198,172697)(172200,172699)(172200,172700)	Mt	172450	501	0.052636
(172298,172797)(172300,172799)(172300,172800)	Mt	172550	501	0.053214
(172398,172897)(172400,172899)(172400,172900)	Mt	172650	501	0.050828
(172498,172997)(172500,172999)(172500,173000)	Mt	172750	501	0.050286
(172598,173097)(172600,173099)(172600,173100)	Mt	172850	501	0.053412
(172698,173197)(172700,173199)(172700,173200)	Mt	172950	501	0.053439
(172798,173297)(172800,173299)(172800,173300)	Mt	173050	501	0.055900
(172898,173397)(172900,173399)(172900,173400)	Mt	173150	501	0.056279
(172998,173497)(173000,173499)(173000,173500)	Mt	173250	501	0.056563
(173098,173597)(173100,173599)(173100,173600)	Mt	173350	501	0.054437
(173198,173697)(173200,173699)(173200,173700)	Mt	173450	501	0.055368
(173298,173797)(173300,173799)(173300,173800)	Mt	173550	501	0.055298
(173398,173897)(173400,173899)(173400,173900)	Mt	173650	501	0.058067
(173498,173997)(173500,173999)(173500,174000)	Mt	173750	501	0.057971
(173598,174097)(173600,174099)(173600,174100)	Mt	173850	501	0.057783
(173698,174197)(173700,174199)(173700,174200)	Mt	173950	501	0.059910
(173798,174297)(173800,174299)(173800,174300)	Mt	174050	501	0.059981
(173898,174397)(173900,174399)(173900,174400)	Mt	174150	501	0.059009
(173998,174497)(174000,174499)(174000,174500)	Mt	174250	501	0.059171
(174098,174597)(174100,174599)(174100,174600)	Mt	174350	501	0.060982
(174198,174697)(174200,174699)(174200,174700)	Mt	174450	501	0.062852
(174298,174797)(174300,174799)(174300,174800)	Mt	174550	501	0.061191
(174398,174897)(174400,174899)(174400,174900)	Mt	174650	501	0.063895
(174498,174997)(174500,174999)(174500,175000)	Mt	174750	501	0.042063
(174598,175097)(174600,175099)(174600,175100)	Mt	174850	501	0.023441
(174698,175197)(174700,175199)(174700,175200)	Mt	174950	501	0.021976
(174798,175297)(174800,175299)(174800,175300)	Mt	175050	501	0.023298
(174898,175397)(174900,175399)(174900,175400)	Mt	175150	501	0.023547
(174998,175497)(175000,175499)(175000,175500)	Mt	175250	501	0.026993
(175098,175597)(175100,175599)(175100,175600)	Mt	175350	501	0.029535
(175198,175697)(175200,175699)(175200,175700)	Mt	175450	501	0.031002
(175298,175797)(175300,175799)(175300,175800)	Mt	175550	501	0.031940
(175398,175897)(175400,175899)(175400,175900)	Mt	175650	501	0.030160
(175498,175997)(175500,175999)(175500,176000)	Mt	175750	501	0.027392
(175598,176097)(175600,176099)(175600,176100)	Mt	175850	501	0.026016
(175698,176197)(175700,176199)(175700,176200)	Mt	175950	501	0.024417
(175798,176297)(175800,176299)(175800,176300)	Mt	176050	501	0.023782
(175898,176397)(175900,176399)(175900,176400)	Mt	176150	501	0.025591
(175998,176497)(176000,176499)(176000,176500)	Mt	176250	501	0.024810
(176098,176597)(176100,176599)(176100,176600)	Mt	176350	501	0.023901
